"year","y","mu_var","sig_var"
2002,0.968225061893463,0.513483208417892,0.513483208417892
2003,0.725561916828156,0.674168729782105,0.674168729782105
2004,1.14952325820923,0.65817654132843,0.65817654132843
2005,0.992373287677765,0.597818839550018,0.597818839550018
2006,1.01963007450104,0.605921971797943,0.605921971797943
2007,0.373772144317627,0.571249842643738,0.571249842643738
2008,0.332892686128616,0.579456031322479,0.579456031322479
2009,1.63537418842316,0.6358766913414,0.6358766913414
2010,1.33397543430328,0.653016835451126,0.653016835451126
2011,1.08205449581146,0.682022416591644,0.682022416591644
2012,1.12183678150177,0.645555508136749,0.645555508136749
2013,0.922445058822632,0.606919348239899,0.606919348239899
2014,0.657776355743408,0.690871495008469,0.690871495008469
2015,0.434337228536606,0.729148900508881,0.729148900508881
2016,0.0182091556489468,0.725430607795715,0.725430607795715
2017,0.235897794365883,0.753894138336182,0.753894138336182
2018,0.877034425735474,0.743541693687439,0.743541693687439
2019,1.53003525733948,0.806903195381165,0.806903195381165
2020,0.797499537467957,0.846570253372192,0.846570253372192
2021,1.42680406570435,0.865191733837128,0.865191733837128
2022,1.82128000259399,0.912099087238312,0.912099087238312
2023,0.671166360378265,0.853783321380615,0.853783321380615
2024,1.8049567937851,0.916054046154022,0.916054046154022
2025,0.965453505516052,0.932758331298828,0.932758331298828
2026,0.267136335372925,0.930547988414764,0.930547988414764
2027,0.656077802181244,1.02794442176819,1.02794442176819
2028,0.930029273033142,0.991374266147613,0.991374266147613
2029,0.942195534706116,1.15319945812225,1.15319945812225
2030,1.80242395401001,1.10501158237457,1.10501158237457
2031,0.93909078836441,1.11834669113159,1.11834669113159
2032,1.78613758087158,1.19096558094025,1.19096558094025
2033,1.25186276435852,1.21498353481293,1.21498353481293
2034,1.76193034648895,1.14055624008179,1.14055624008179
2035,2.14008760452271,1.23355355262756,1.23355355262756
2036,0.936498403549194,1.23509783744812,1.23509783744812
2037,1.94131422042847,1.34167892932892,1.34167892932892
2038,1.90224087238312,1.35715265274048,1.35715265274048
2039,2.10348224639893,1.38191251754761,1.38191251754761
2040,2.56833457946777,1.50634169578552,1.50634169578552
2041,2.01736044883728,1.53885042667389,1.53885042667389
2042,2.00140810012817,1.50676534175873,1.50676534175873
2043,2.17736959457397,1.50622568130493,1.50622568130493
2044,1.81822085380554,1.61489169597626,1.61489169597626
2045,2.3329701423645,1.62311165332794,1.62311165332794
2046,2.78697943687439,1.6312427520752,1.6312427520752
2047,2.26727151870728,1.68821158409119,1.68821158409119
2048,1.59907245635986,1.77605347633362,1.77605347633362
2049,2.51352286338806,1.78662955760956,1.78662955760956
2050,2.43868494033813,1.7979353427887,1.7979353427887
2051,2.19802451133728,1.83949589729309,1.83949589729309
2052,2.41546487808228,1.84872732162476,1.84872732162476
2053,2.78016042709351,1.9625278711319,1.9625278711319
2054,3.31941628456116,2.00978193283081,2.00978193283081
2055,2.75549125671387,2.01565852165222,2.01565852165222
2056,2.14200830459595,2.06354243755341,2.06354243755341
2057,3.00648498535156,2.09418835639954,2.09418835639954
2058,3.78829979896545,2.14238996505737,2.14238996505737
2059,2.35651588439941,2.13930187225342,2.13930187225342
2060,3.17003035545349,2.11194367408752,2.11194367408752
2061,3.14951848983765,2.23015704154968,2.23015704154968
2062,3.66829633712769,2.28777461051941,2.28777461051941
2063,3.19250679016113,2.35285811424255,2.35285811424255
2064,3.55054020881653,2.41648206710815,2.41648206710815
2065,2.24423670768738,2.4652195930481,2.4652195930481
2066,3.9004271030426,2.454518699646,2.454518699646
2067,3.51450896263123,2.5532154083252,2.5532154083252
